order_book_id,symbol,abbrev_symbol,round_lot,sector_code,sector_code_name,industry_code,industry_name,listed_date,issue_price,de_listed_date,type,exchange,board_type,status,special_type,trading_hours,market_tplus
603315.XSHG,福鞍股份,FAGF,100,Industrials,工业,C34,通用设备制造业,2015-04-24,10.77,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603316.XSHG,诚邦股份,CBGF,100,Industrials,工业,E48,土木工程建筑业,2017-06-19,6.82,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603317.XSHG,天味食品,TWSP,100,ConsumerStaples,必需消费品,C14,食品制造业,2019-04-16,13.46,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603318.XSHG,水发燃气,SFRQ,100,Industrials,工业,D45,燃气生产和供应业,2015-04-24,6.52,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603319.XSHG,湘油泵,XYB,100,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2016-11-30,10.46,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603320.XSHG,迪贝电气,DBDQ,100,Industrials,工业,C34,通用设备制造业,2017-05-02,9.93,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603321.XSHG,梅轮电梯,MLDT,100,Industrials,工业,C34,通用设备制造业,2017-09-15,6.07,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603322.XSHG,超讯通信,CXTX,100,InformationTechnology,信息技术,I65,软件和信息技术服务业,2016-07-28,11.99,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603323.XSHG,苏农银行,SNYH,100,Financials,金融,J66,货币金融服务,2016-11-29,6.83,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603324.XSHG,盛剑环境,SJHJ,100,Industrials,工业,C35,专用设备制造业,2021-04-07,19.87,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603326.XSHG,我乐家居,WLJJ,100,ConsumerDiscretionary,非必须消费品,C21,家具制造业,2017-06-16,9.87,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603327.XSHG,福蓉科技,FRKJ,100,InformationTechnology,信息技术,C39,计算机、通信和其他电子设备制造业,2019-05-23,8.45,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603328.XSHG,依顿电子,YDDZ,100,InformationTechnology,信息技术,C39,计算机、通信和其他电子设备制造业,2014-07-01,15.31,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603329.XSHG,上海雅仕,SHYS,100,Industrials,工业,G58,装卸搬运和运输代理业,2017-12-29,10.54,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603330.XSHG,天洋新材,TYXC,100,Materials,原材料,C26,化学原料和化学制品制造业,2017-02-13,18.19,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603331.XSHG,百达精工,BDJG,100,Industrials,工业,C38,电气机械和器材制造业,2017-07-05,9.63,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603332.XSHG,苏州龙杰,SZLJ,100,Materials,原材料,C28,化学纤维制造业,2019-01-17,19.44,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603333.XSHG,尚纬股份,SWGF,100,Industrials,工业,C38,电气机械和器材制造业,2012-05-07,9.3,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603335.XSHG,迪生力,DSL,100,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2017-06-20,3.62,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603336.XSHG,宏辉果蔬,HHGS,100,ConsumerStaples,必需消费品,C13,农副食品加工业,2016-11-24,9.31,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603337.XSHG,杰克股份,JKGF,100,Industrials,工业,C35,专用设备制造业,2017-01-19,17.72,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603338.XSHG,浙江鼎力,ZJDL,100,Industrials,工业,C35,专用设备制造业,2015-03-25,29.56,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603339.XSHG,四方科技,SFKJ,100,Industrials,工业,C34,通用设备制造业,2016-05-19,10.19,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603345.XSHG,安井食品,AJSP,100,ConsumerStaples,必需消费品,C13,农副食品加工业,2017-02-22,11.12,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603348.XSHG,文灿股份,WCGF,100,ConsumerDiscretionary,非必须消费品,C33,金属制品业,2018-04-26,15.26,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603351.XSHG,威尔药业,WEYY,100,Materials,原材料,C27,医药制造业,2019-01-30,35.5,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603353.XSHG,和顺石油,HSSY,100,Energy,能源,F52,零售业,2020-04-07,27.79,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603355.XSHG,莱克电气,LKDQ,100,ConsumerDiscretionary,非必须消费品,C38,电气机械和器材制造业,2015-05-13,19.08,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603356.XSHG,华菱精工,HLJG,100,Industrials,工业,C34,通用设备制造业,2018-01-24,10.21,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603357.XSHG,设计总院,SJZY,100,Industrials,工业,M74,专业技术服务业,2017-08-01,10.44,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
